WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,2,160,64000000
Baboons,11,990,13200000
Barracudas,6,1140,28200000
Bats,6,60,28800000
Bears,3,270,12000000
Bobolinks,24,1200,153600000
Buffalo,12,960,39600000
Buzzards,4,40,24400000
Cats,8,1280,12800000
Cattle,9,1260,5400000
Cheetas,7,910,7700000
Chickens,21,3360,35700000
Cobras,13,130,22100000
Crabs,6,1200,7800000
Crocodiles,7,700,21700000
Deer,17,1020,28900000
Dolphins,7,490,142800000
Dotterels,2,200,7400000
Dragons,11,1320,45100000
Ducks,6,1080,15600000
Falcons,2,20,159000000
Finches,19,3040,115900000
Fish,8,1120,12800000
Flamingos,13,260,89700000
Geese,13,390,44200000
Giraffes,9,1080,65700000
Goats,9,1620,33300000
Grouse,3,540,14400000
Hawks,5,50,26500000
Herring,6,1200,16800000
Jays,2,120,7800000
Jellyfish,5,200,14000000
Kittens,1,190,5500000
Larks,4,200,8400000
Lemurs,5,600,19500000
Locusts,3,60,8700000
Martens,7,1260,9100000
Moles,5,900,7500000
Mosquitoes,5,500,21500000
Otters,2,240,2400000
Oxen,2,280,4800000
Parrots,1,50,4300000
Partridge,3,120,3000000
Peacocks,33,5280,141900000
Pigs,4,400,17600000
Plovers,9,540,31500000
Quail,25,2750,92500000
Rattlesnakes,16,2080,134400000
Ravens,25,2750,10000000
Sloths,5,100,33500000
Spiders,17,2040,10200000
Turkeys,11,1760,49500000
Woodcocks,37,4440,18500000
