WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,1,80,32000000
Baboons,3,270,3600000
Barracudas,2,380,9400000
Bats,2,20,9600000
Bears,1,90,4000000
Bobolinks,6,300,38400000
Buffalo,3,240,9900000
Buzzards,1,10,6100000
Cats,2,320,3200000
Cattle,3,420,1800000
Cheetas,2,260,2200000
Chickens,6,960,10200000
Cobras,4,40,6800000
Crabs,2,400,2600000
Crocodiles,2,200,6200000
Deer,5,300,8500000
Dolphins,2,140,40800000
Dotterels,1,100,3700000
Dragons,3,360,12300000
Ducks,2,360,5200000
Falcons,1,10,79500000
Finches,5,800,30500000
Fish,2,280,3200000
Flamingos,4,80,27600000
Geese,4,120,13600000
Giraffes,3,360,21900000
Goats,3,540,11100000
Grouse,1,180,4800000
Hawks,2,20,10600000
Herring,2,400,5600000
Jays,1,60,3900000
Jellyfish,2,80,5600000
Kittens,1,190,5500000
Larks,1,50,2100000
Lemurs,2,240,7800000
Locusts,1,20,2900000
Martens,2,360,2600000
Moles,2,360,3000000
Mosquitoes,2,200,8600000
Otters,1,120,1200000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,1,40,1000000
Peacocks,9,1440,38700000
Pigs,1,100,4400000
Plovers,3,180,10500000
Quail,7,770,25900000
Rattlesnakes,4,520,33600000
Ravens,7,770,2800000
Sloths,1,20,6700000
Spiders,4,480,2400000
Turkeys,3,480,13500000
Woodcocks,10,1200,5000000
