WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,3,240,96000000
Baboons,11,990,13200000
Barracudas,6,1140,28200000
Bats,6,60,28800000
Bears,3,270,12000000
Bobolinks,25,1250,160000000
Buffalo,13,1040,42900000
Buzzards,4,40,24400000
Cats,9,1440,14400000
Cattle,10,1400,6000000
Cheetas,7,910,7700000
Chickens,23,3680,39100000
Cobras,14,140,23800000
Crabs,6,1200,7800000
Crocodiles,8,800,24800000
Deer,18,1080,30600000
Dolphins,8,560,163200000
Dotterels,2,200,7400000
Dragons,12,1440,49200000
Ducks,6,1080,15600000
Falcons,2,20,159000000
Finches,20,3200,122000000
Fish,9,1260,14400000
Flamingos,14,280,96600000
Geese,14,420,47600000
Giraffes,10,1200,73000000
Goats,9,1620,33300000
Grouse,3,540,14400000
Hawks,6,60,31800000
Herring,6,1200,16800000
Jays,2,120,7800000
Jellyfish,6,240,16800000
Kittens,1,190,5500000
Larks,4,200,8400000
Lemurs,5,600,19500000
Locusts,3,60,8700000
Martens,7,1260,9100000
Moles,6,1080,9000000
Mosquitoes,6,600,25800000
Otters,2,240,2400000
Oxen,2,280,4800000
Parrots,1,50,4300000
Partridge,3,120,3000000
Peacocks,35,5600,150500000
Pigs,4,400,17600000
Plovers,10,600,35000000
Quail,26,2860,96200000
Rattlesnakes,17,2210,142800000
Ravens,27,2970,10800000
Sloths,5,100,33500000
Spiders,18,2160,10800000
Turkeys,11,1760,49500000
Woodcocks,39,4680,19500000
