WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,2,160,64000000
Baboons,8,720,9600000
Barracudas,5,950,23500000
Bats,4,40,19200000
Bears,3,270,12000000
Bobolinks,18,900,115200000
Buffalo,9,720,29700000
Buzzards,3,30,18300000
Cats,6,960,9600000
Cattle,7,980,4200000
Cheetas,5,650,5500000
Chickens,16,2560,27200000
Cobras,10,100,17000000
Crabs,4,800,5200000
Crocodiles,6,600,18600000
Deer,13,780,22100000
Dolphins,5,350,102000000
Dotterels,1,100,3700000
Dragons,8,960,32800000
Ducks,4,720,10400000
Falcons,1,10,79500000
Finches,14,2240,85400000
Fish,6,840,9600000
Flamingos,10,200,69000000
Geese,10,300,34000000
Giraffes,7,840,51100000
Goats,7,1260,25900000
Grouse,2,360,9600000
Hawks,4,40,21200000
Herring,4,800,11200000
Jays,2,120,7800000
Jellyfish,4,160,11200000
Kittens,1,190,5500000
Larks,3,150,6300000
Lemurs,4,480,15600000
Locusts,2,40,5800000
Martens,5,900,6500000
Moles,4,720,6000000
Mosquitoes,4,400,17200000
Otters,2,240,2400000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,2,80,2000000
Peacocks,25,4000,107500000
Pigs,3,300,13200000
Plovers,7,420,24500000
Quail,18,1980,66600000
Rattlesnakes,12,1560,100800000
Ravens,19,2090,7600000
Sloths,4,80,26800000
Spiders,13,1560,7800000
Turkeys,8,1280,36000000
Woodcocks,28,3360,14000000
