WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,1,80,32000000
Baboons,5,450,6000000
Barracudas,3,570,14100000
Bats,3,30,14400000
Bears,2,180,8000000
Bobolinks,11,550,70400000
Buffalo,6,480,19800000
Buzzards,2,20,12200000
Cats,4,640,6400000
Cattle,5,700,3000000
Cheetas,3,390,3300000
Chickens,10,1600,17000000
Cobras,6,60,10200000
Crabs,3,600,3900000
Crocodiles,3,300,9300000
Deer,8,480,13600000
Dolphins,4,280,81600000
Dotterels,1,100,3700000
Dragons,6,720,24600000
Ducks,3,540,7800000
Falcons,1,10,79500000
Finches,9,1440,54900000
Fish,4,560,6400000
Flamingos,7,140,48300000
Geese,6,180,20400000
Giraffes,5,600,36500000
Goats,4,720,14800000
Grouse,1,180,4800000
Hawks,3,30,15900000
Herring,3,600,8400000
Jays,1,60,3900000
Jellyfish,3,120,8400000
Kittens,1,190,5500000
Larks,2,100,4200000
Lemurs,3,360,11700000
Locusts,2,40,5800000
Martens,3,540,3900000
Moles,3,540,4500000
Mosquitoes,3,300,12900000
Otters,1,120,1200000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,2,80,2000000
Peacocks,16,2560,68800000
Pigs,2,200,8800000
Plovers,5,300,17500000
Quail,12,1320,44400000
Rattlesnakes,8,1040,67200000
Ravens,12,1320,4800000
Sloths,3,60,20100000
Spiders,8,960,4800000
Turkeys,5,800,22500000
Woodcocks,18,2160,9000000
