WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,2,160,64000000
Baboons,7,630,8400000
Barracudas,4,760,18800000
Bats,4,40,19200000
Bears,2,180,8000000
Bobolinks,16,800,102400000
Buffalo,9,720,29700000
Buzzards,3,30,18300000
Cats,6,960,9600000
Cattle,7,980,4200000
Cheetas,5,650,5500000
Chickens,15,2400,25500000
Cobras,9,90,15300000
Crabs,4,800,5200000
Crocodiles,5,500,15500000
Deer,12,720,20400000
Dolphins,5,350,102000000
Dotterels,1,100,3700000
Dragons,8,960,32800000
Ducks,4,720,10400000
Falcons,1,10,79500000
Finches,13,2080,79300000
Fish,6,840,9600000
Flamingos,9,180,62100000
Geese,9,270,30600000
Giraffes,7,840,51100000
Goats,6,1080,22200000
Grouse,2,360,9600000
Hawks,4,40,21200000
Herring,4,800,11200000
Jays,2,120,7800000
Jellyfish,4,160,11200000
Kittens,1,190,5500000
Larks,3,150,6300000
Lemurs,3,360,11700000
Locusts,2,40,5800000
Martens,5,900,6500000
Moles,4,720,6000000
Mosquitoes,4,400,17200000
Otters,2,240,2400000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,2,80,2000000
Peacocks,23,3680,98900000
Pigs,3,300,13200000
Plovers,6,360,21000000
Quail,17,1870,62900000
Rattlesnakes,11,1430,92400000
Ravens,17,1870,6800000
Sloths,3,60,20100000
Spiders,12,1440,7200000
Turkeys,8,1280,36000000
Woodcocks,25,3000,12500000
