WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,2,160,64000000
Baboons,7,630,8400000
Barracudas,4,760,18800000
Bats,4,40,19200000
Bears,2,180,8000000
Bobolinks,15,750,96000000
Buffalo,8,640,26400000
Buzzards,2,20,12200000
Cats,5,800,8000000
Cattle,6,840,3600000
Cheetas,4,520,4400000
Chickens,13,2080,22100000
Cobras,8,80,13600000
Crabs,4,800,5200000
Crocodiles,5,500,15500000
Deer,11,660,18700000
Dolphins,4,280,81600000
Dotterels,1,100,3700000
Dragons,7,840,28700000
Ducks,4,720,10400000
Falcons,1,10,79500000
Finches,12,1920,73200000
Fish,5,700,8000000
Flamingos,8,160,55200000
Geese,8,240,27200000
Giraffes,6,720,43800000
Goats,5,900,18500000
Grouse,2,360,9600000
Hawks,4,40,21200000
Herring,4,800,11200000
Jays,2,120,7800000
Jellyfish,4,160,11200000
Kittens,1,190,5500000
Larks,3,150,6300000
Lemurs,3,360,11700000
Locusts,2,40,5800000
Martens,4,720,5200000
Moles,3,540,4500000
Mosquitoes,4,400,17200000
Otters,2,240,2400000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,2,80,2000000
Peacocks,20,3200,86000000
Pigs,2,200,8800000
Plovers,6,360,21000000
Quail,15,1650,55500000
Rattlesnakes,10,1300,84000000
Ravens,16,1760,6400000
Sloths,3,60,20100000
Spiders,10,1200,6000000
Turkeys,7,1120,31500000
Woodcocks,23,2760,11500000
