WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,0,0,0
Baboons,0,0,0
Barracudas,0,0,0
Bats,0,0,0
Bears,0,0,0
Bobolinks,0,0,0
Buffalo,0,0,0
Buzzards,0,0,0
Cats,0,0,0
Cattle,0,0,0
Cheetas,0,0,0
Chickens,0,0,0
Cobras,0,0,0
Crabs,0,0,0
Crocodiles,0,0,0
Deer,0,0,0
Dolphins,0,0,0
Dotterels,0,0,0
Dragons,0,0,0
Ducks,0,0,0
Falcons,0,0,0
Finches,0,0,0
Fish,0,0,0
Flamingos,0,0,0
Geese,0,0,0
Giraffes,0,0,0
Goats,0,0,0
Grouse,0,0,0
Hawks,0,0,0
Herring,0,0,0
Jays,0,0,0
Jellyfish,0,0,0
Kittens,0,0,0
Larks,0,0,0
Lemurs,0,0,0
Locusts,0,0,0
Martens,0,0,0
Moles,0,0,0
Mosquitoes,0,0,0
Otters,0,0,0
Oxen,0,0,0
Parrots,0,0,0
Partridge,0,0,0
Peacocks,0,0,0
Pigs,0,0,0
Plovers,0,0,0
Quail,0,0,0
Rattlesnakes,0,0,0
Ravens,0,0,0
Sloths,0,0,0
Spiders,0,0,0
Turkeys,0,0,0
Woodcocks,0,0,0
