WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,2,160,64000000
Baboons,6,540,7200000
Barracudas,3,570,14100000
Bats,3,30,14400000
Bears,2,180,8000000
Bobolinks,13,650,83200000
Buffalo,7,560,23100000
Buzzards,2,20,12200000
Cats,4,640,6400000
Cattle,5,700,3000000
Cheetas,4,520,4400000
Chickens,12,1920,20400000
Cobras,7,70,11900000
Crabs,3,600,3900000
Crocodiles,4,400,12400000
Deer,9,540,15300000
Dolphins,4,280,81600000
Dotterels,1,100,3700000
Dragons,6,720,24600000
Ducks,3,540,7800000
Falcons,1,10,79500000
Finches,10,1600,61000000
Fish,4,560,6400000
Flamingos,7,140,48300000
Geese,7,210,23800000
Giraffes,5,600,36500000
Goats,5,900,18500000
Grouse,2,360,9600000
Hawks,3,30,15900000
Herring,3,600,8400000
Jays,1,60,3900000
Jellyfish,3,120,8400000
Kittens,1,190,5500000
Larks,2,100,4200000
Lemurs,3,360,11700000
Locusts,2,40,5800000
Martens,4,720,5200000
Moles,3,540,4500000
Mosquitoes,3,300,12900000
Otters,1,120,1200000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,2,80,2000000
Peacocks,18,2880,77400000
Pigs,2,200,8800000
Plovers,5,300,17500000
Quail,14,1540,51800000
Rattlesnakes,9,1170,75600000
Ravens,14,1540,5600000
Sloths,3,60,20100000
Spiders,9,1080,5400000
Turkeys,6,960,27000000
Woodcocks,20,2400,10000000
