WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,2,160,64000000
Baboons,6,540,7200000
Barracudas,4,760,18800000
Bats,3,30,14400000
Bears,2,180,8000000
Bobolinks,14,700,89600000
Buffalo,7,560,23100000
Buzzards,2,20,12200000
Cats,4,640,6400000
Cattle,6,840,3600000
Cheetas,4,520,4400000
Chickens,12,1920,20400000
Cobras,8,80,13600000
Crabs,3,600,3900000
Crocodiles,4,400,12400000
Deer,10,600,17000000
Dolphins,4,280,81600000
Dotterels,1,100,3700000
Dragons,6,720,24600000
Ducks,3,540,7800000
Falcons,1,10,79500000
Finches,11,1760,67100000
Fish,5,700,8000000
Flamingos,8,160,55200000
Geese,7,210,23800000
Giraffes,6,720,43800000
Goats,5,900,18500000
Grouse,2,360,9600000
Hawks,3,30,15900000
Herring,3,600,8400000
Jays,2,120,7800000
Jellyfish,3,120,8400000
Kittens,1,190,5500000
Larks,2,100,4200000
Lemurs,3,360,11700000
Locusts,2,40,5800000
Martens,4,720,5200000
Moles,3,540,4500000
Mosquitoes,3,300,12900000
Otters,2,240,2400000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,2,80,2000000
Peacocks,19,3040,81700000
Pigs,2,200,8800000
Plovers,5,300,17500000
Quail,14,1540,51800000
Rattlesnakes,9,1170,75600000
Ravens,15,1650,6000000
Sloths,3,60,20100000
Spiders,10,1200,6000000
Turkeys,6,960,27000000
Woodcocks,21,2520,10500000
