WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,2,160,64000000
Baboons,10,900,12000000
Barracudas,6,1140,28200000
Bats,5,50,24000000
Bears,3,270,12000000
Bobolinks,22,1100,140800000
Buffalo,12,960,39600000
Buzzards,4,40,24400000
Cats,8,1280,12800000
Cattle,9,1260,5400000
Cheetas,6,780,6600000
Chickens,20,3200,34000000
Cobras,13,130,22100000
Crabs,5,1000,6500000
Crocodiles,7,700,21700000
Deer,16,960,27200000
Dolphins,7,490,142800000
Dotterels,1,100,3700000
Dragons,11,1320,45100000
Ducks,5,900,13000000
Falcons,1,10,79500000
Finches,18,2880,109800000
Fish,8,1120,12800000
Flamingos,13,260,89700000
Geese,12,360,40800000
Giraffes,9,1080,65700000
Goats,8,1440,29600000
Grouse,2,360,9600000
Hawks,5,50,26500000
Herring,5,1000,14000000
Jays,2,120,7800000
Jellyfish,5,200,14000000
Kittens,1,190,5500000
Larks,4,200,8400000
Lemurs,5,600,19500000
Locusts,3,60,8700000
Martens,6,1080,7800000
Moles,5,900,7500000
Mosquitoes,5,500,21500000
Otters,2,240,2400000
Oxen,2,280,4800000
Parrots,1,50,4300000
Partridge,3,120,3000000
Peacocks,32,5120,137600000
Pigs,3,300,13200000
Plovers,9,540,31500000
Quail,23,2530,85100000
Rattlesnakes,15,1950,126000000
Ravens,24,2640,9600000
Sloths,5,100,33500000
Spiders,16,1920,9600000
Turkeys,10,1600,45000000
Woodcocks,35,4200,17500000
