WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,1,80,32000000
Baboons,5,450,6000000
Barracudas,3,570,14100000
Bats,3,30,14400000
Bears,2,180,8000000
Bobolinks,10,500,64000000
Buffalo,5,400,16500000
Buzzards,2,20,12200000
Cats,3,480,4800000
Cattle,4,560,2400000
Cheetas,3,390,3300000
Chickens,9,1440,15300000
Cobras,6,60,10200000
Crabs,3,600,3900000
Crocodiles,3,300,9300000
Deer,7,420,11900000
Dolphins,3,210,61200000
Dotterels,1,100,3700000
Dragons,5,600,20500000
Ducks,3,540,7800000
Falcons,1,10,79500000
Finches,8,1280,48800000
Fish,3,420,4800000
Flamingos,6,120,41400000
Geese,6,180,20400000
Giraffes,4,480,29200000
Goats,4,720,14800000
Grouse,1,180,4800000
Hawks,3,30,15900000
Herring,3,600,8400000
Jays,1,60,3900000
Jellyfish,3,120,8400000
Kittens,1,190,5500000
Larks,2,100,4200000
Lemurs,2,240,7800000
Locusts,1,20,2900000
Martens,3,540,3900000
Moles,3,540,4500000
Mosquitoes,3,300,12900000
Otters,1,120,1200000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,2,80,2000000
Peacocks,14,2240,60200000
Pigs,2,200,8800000
Plovers,4,240,14000000
Quail,10,1100,37000000
Rattlesnakes,7,910,58800000
Ravens,11,1210,4400000
Sloths,2,40,13400000
Spiders,7,840,4200000
Turkeys,5,800,22500000
Woodcocks,16,1920,8000000
