WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,1,80,32000000
Baboons,2,180,2400000
Barracudas,1,190,4700000
Bats,1,10,4800000
Bears,1,90,4000000
Bobolinks,5,250,32000000
Buffalo,2,160,6600000
Buzzards,1,10,6100000
Cats,1,160,1600000
Cattle,2,280,1200000
Cheetas,2,260,2200000
Chickens,4,640,6800000
Cobras,3,30,5100000
Crabs,1,200,1300000
Crocodiles,1,100,3100000
Deer,3,180,5100000
Dolphins,1,70,20400000
Dotterels,1,100,3700000
Dragons,2,240,8200000
Ducks,1,180,2600000
Falcons,1,10,79500000
Finches,4,640,24400000
Fish,1,140,1600000
Flamingos,3,60,20700000
Geese,3,90,10200000
Giraffes,2,240,14600000
Goats,2,360,7400000
Grouse,1,180,4800000
Hawks,1,10,5300000
Herring,1,200,2800000
Jays,1,60,3900000
Jellyfish,1,40,2800000
Kittens,1,190,5500000
Larks,1,50,2100000
Lemurs,1,120,3900000
Locusts,1,20,2900000
Martens,2,360,2600000
Moles,1,180,1500000
Mosquitoes,1,100,4300000
Otters,1,120,1200000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,1,40,1000000
Peacocks,6,960,25800000
Pigs,1,100,4400000
Plovers,2,120,7000000
Quail,4,440,14800000
Rattlesnakes,3,390,25200000
Ravens,5,550,2000000
Sloths,1,20,6700000
Spiders,3,360,1800000
Turkeys,3,480,13500000
Woodcocks,7,840,3500000
