WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,2,160,64000000
Baboons,9,810,10800000
Barracudas,5,950,23500000
Bats,5,50,24000000
Bears,3,270,12000000
Bobolinks,19,950,121600000
Buffalo,10,800,33000000
Buzzards,3,30,18300000
Cats,7,1120,11200000
Cattle,8,1120,4800000
Cheetas,6,780,6600000
Chickens,18,2880,30600000
Cobras,11,110,18700000
Crabs,5,1000,6500000
Crocodiles,6,600,18600000
Deer,14,840,23800000
Dolphins,6,420,122400000
Dotterels,1,100,3700000
Dragons,9,1080,36900000
Ducks,5,900,13000000
Falcons,1,10,79500000
Finches,15,2400,91500000
Fish,7,980,11200000
Flamingos,11,220,75900000
Geese,11,330,37400000
Giraffes,8,960,58400000
Goats,7,1260,25900000
Grouse,2,360,9600000
Hawks,5,50,26500000
Herring,5,1000,14000000
Jays,2,120,7800000
Jellyfish,5,200,14000000
Kittens,1,190,5500000
Larks,3,150,6300000
Lemurs,4,480,15600000
Locusts,2,40,5800000
Martens,5,900,6500000
Moles,4,720,6000000
Mosquitoes,5,500,21500000
Otters,2,240,2400000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,3,120,3000000
Peacocks,27,4320,116100000
Pigs,3,300,13200000
Plovers,8,480,28000000
Quail,20,2200,74000000
Rattlesnakes,13,1690,109200000
Ravens,21,2310,8400000
Sloths,4,80,26800000
Spiders,14,1680,8400000
Turkeys,9,1440,40500000
Woodcocks,30,3600,15000000
