WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,1,80,32000000
Baboons,3,270,3600000
Barracudas,2,380,9400000
Bats,2,20,9600000
Bears,1,90,4000000
Bobolinks,5,250,32000000
Buffalo,3,240,9900000
Buzzards,1,10,6100000
Cats,1,160,1600000
Cattle,2,280,1200000
Cheetas,2,260,2200000
Chickens,5,800,8500000
Cobras,3,30,5100000
Crabs,2,400,2600000
Crocodiles,1,100,3100000
Deer,4,240,6800000
Dolphins,1,70,20400000
Dotterels,1,100,3700000
Dragons,3,360,12300000
Ducks,2,360,5200000
Falcons,1,10,79500000
Finches,4,640,24400000
Fish,1,140,1600000
Flamingos,3,60,20700000
Geese,3,90,10200000
Giraffes,2,240,14600000
Goats,2,360,7400000
Grouse,1,180,4800000
Hawks,2,20,10600000
Herring,2,400,5600000
Jays,1,60,3900000
Jellyfish,1,40,2800000
Kittens,1,190,5500000
Larks,1,50,2100000
Lemurs,1,120,3900000
Locusts,1,20,2900000
Martens,2,360,2600000
Moles,1,180,1500000
Mosquitoes,1,100,4300000
Otters,1,120,1200000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,1,40,1000000
Peacocks,7,1120,30100000
Pigs,1,100,4400000
Plovers,2,120,7000000
Quail,5,550,18500000
Rattlesnakes,3,390,25200000
Ravens,6,660,2400000
Sloths,1,20,6700000
Spiders,3,360,1800000
Turkeys,3,480,13500000
Woodcocks,8,960,4000000
