WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,3,240,96000000
Baboons,12,1080,14400000
Barracudas,7,1330,32900000
Bats,6,60,28800000
Bears,4,360,16000000
Bobolinks,26,1300,166400000
Buffalo,14,1120,46200000
Buzzards,4,40,24400000
Cats,9,1440,14400000
Cattle,10,1400,6000000
Cheetas,7,910,7700000
Chickens,24,3840,40800000
Cobras,15,150,25500000
Crabs,6,1200,7800000
Crocodiles,8,800,24800000
Deer,19,1140,32300000
Dolphins,8,560,163200000
Dotterels,2,200,7400000
Dragons,12,1440,49200000
Ducks,6,1080,15600000
Falcons,2,20,159000000
Finches,21,3360,128100000
Fish,9,1260,14400000
Flamingos,15,300,103500000
Geese,14,420,47600000
Giraffes,10,1200,73000000
Goats,10,1800,37000000
Grouse,3,540,14400000
Hawks,6,60,31800000
Herring,6,1200,16800000
Jays,3,180,11700000
Jellyfish,6,240,16800000
Kittens,1,190,5500000
Larks,4,200,8400000
Lemurs,5,600,19500000
Locusts,3,60,8700000
Martens,7,1260,9100000
Moles,6,1080,9000000
Mosquitoes,6,600,25800000
Otters,2,240,2400000
Oxen,2,280,4800000
Parrots,1,50,4300000
Partridge,3,120,3000000
Peacocks,37,5920,159100000
Pigs,4,400,17600000
Plovers,10,600,35000000
Quail,27,2970,99900000
Rattlesnakes,18,2340,151200000
Ravens,28,3080,11200000
Sloths,5,100,33500000
Spiders,19,2280,11400000
Turkeys,12,1920,54000000
Woodcocks,41,4920,20500000
