WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,1,80,32000000
Baboons,4,360,4800000
Barracudas,2,380,9400000
Bats,2,20,9600000
Bears,1,90,4000000
Bobolinks,8,400,51200000
Buffalo,4,320,13200000
Buzzards,2,20,12200000
Cats,2,320,3200000
Cattle,3,420,1800000
Cheetas,3,390,3300000
Chickens,7,1120,11900000
Cobras,5,50,8500000
Crabs,2,400,2600000
Crocodiles,2,200,6200000
Deer,6,360,10200000
Dolphins,2,140,40800000
Dotterels,1,100,3700000
Dragons,4,480,16400000
Ducks,2,360,5200000
Falcons,1,10,79500000
Finches,6,960,36600000
Fish,2,280,3200000
Flamingos,5,100,34500000
Geese,5,150,17000000
Giraffes,3,360,21900000
Goats,3,540,11100000
Grouse,1,180,4800000
Hawks,2,20,10600000
Herring,2,400,5600000
Jays,1,60,3900000
Jellyfish,2,80,5600000
Kittens,1,190,5500000
Larks,1,50,2100000
Lemurs,2,240,7800000
Locusts,1,20,2900000
Martens,2,360,2600000
Moles,2,360,3000000
Mosquitoes,2,200,8600000
Otters,1,120,1200000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,1,40,1000000
Peacocks,11,1760,47300000
Pigs,1,100,4400000
Plovers,3,180,10500000
Quail,8,880,29600000
Rattlesnakes,5,650,42000000
Ravens,9,990,3600000
Sloths,2,40,13400000
Spiders,6,720,3600000
Turkeys,4,640,18000000
Woodcocks,12,1440,6000000
