WSName,MachinesNeeded,Footprint,CostOfMachine
Apes,1,80,32000000
Baboons,1,90,1200000
Barracudas,1,190,4700000
Bats,1,10,4800000
Bears,1,90,4000000
Bobolinks,3,150,19200000
Buffalo,2,160,6600000
Buzzards,1,10,6100000
Cats,1,160,1600000
Cattle,1,140,600000
Cheetas,1,130,1100000
Chickens,3,480,5100000
Cobras,2,20,3400000
Crabs,1,200,1300000
Crocodiles,1,100,3100000
Deer,2,120,3400000
Dolphins,1,70,20400000
Dotterels,1,100,3700000
Dragons,2,240,8200000
Ducks,1,180,2600000
Falcons,1,10,79500000
Finches,2,320,12200000
Fish,1,140,1600000
Flamingos,2,40,13800000
Geese,2,60,6800000
Giraffes,1,120,7300000
Goats,1,180,3700000
Grouse,1,180,4800000
Hawks,1,10,5300000
Herring,1,200,2800000
Jays,1,60,3900000
Jellyfish,1,40,2800000
Kittens,1,190,5500000
Larks,1,50,2100000
Lemurs,1,120,3900000
Locusts,1,20,2900000
Martens,1,180,1300000
Moles,1,180,1500000
Mosquitoes,1,100,4300000
Otters,1,120,1200000
Oxen,1,140,2400000
Parrots,1,50,4300000
Partridge,1,40,1000000
Peacocks,4,640,17200000
Pigs,1,100,4400000
Plovers,1,60,3500000
Quail,3,330,11100000
Rattlesnakes,2,260,16800000
Ravens,3,330,1200000
Sloths,1,20,6700000
Spiders,2,240,1200000
Turkeys,2,320,9000000
Woodcocks,4,480,2000000
